Time (-),FRC-01 [kN],FRC-02 [kN]
2022-11-04 08:36:24.897,233.92928125,233.939234375
2022-11-04 08:36:24.907,233.935484375,233.972484375
2022-11-04 08:36:24.917,233.98678125,233.95275
2022-11-04 08:36:24.927,233.943921875,233.966859375
2022-11-04 08:36:24.937,233.910671875,233.9488125
2022-11-04 08:36:24.947,233.941109375,233.966296875
2022-11-04 08:36:24.957,233.95578125,233.956703125
2022-11-04 08:36:24.967,233.9461875,233.94825
2022-11-04 08:36:24.977,233.92984375,233.916125
2022-11-04 08:36:24.987,233.96140625,233.940359375
2022-11-04 08:36:24.997,233.9461875,233.93246875
2022-11-04 08:36:25.007,233.9225,233.93190625
2022-11-04 08:36:25.017,233.92475,233.96403125
2022-11-04 08:36:25.027,233.911796875,233.99784375
2022-11-04 08:36:25.037,233.915734375,233.96178125
2022-11-04 08:36:25.047,233.9185625,233.96403125
2022-11-04 08:36:25.057,233.936609375,233.960078125
2022-11-04 08:36:25.067,233.949,233.960078125
2022-11-04 08:36:25.077,233.93378125,233.969109375
2022-11-04 08:36:25.087,233.92703125,233.924578125
2022-11-04 08:36:25.097,233.952953125,233.971359375
2022-11-04 08:36:25.107,233.944484375,233.957265625
2022-11-04 08:36:25.117,233.941109375,233.955578125
2022-11-04 08:36:25.127,233.95690625,233.9476875
2022-11-04 08:36:25.137,233.9225,233.967421875
2022-11-04 08:36:25.147,233.95634375,233.96121875
2022-11-04 08:36:25.157,233.978890625,234.001796875
2022-11-04 08:36:25.167,233.940546875,233.960078125
2022-11-04 08:36:25.177,233.96140625,233.96121875
2022-11-04 08:36:25.187,233.95971875,233.9815
2022-11-04 08:36:25.197,233.943921875,233.938671875
2022-11-04 08:36:25.207,233.966484375,233.954453125
2022-11-04 08:36:25.217,233.952390625,233.934734375
2022-11-04 08:36:25.227,233.970984375,233.973046875
2022-11-04 08:36:25.237,233.954078125,233.958953125
2022-11-04 08:36:25.247,233.9208125,233.970796875
2022-11-04 08:36:25.257,233.9241875,233.974171875
2022-11-04 08:36:25.267,233.966484375,233.970796875
2022-11-04 08:36:25.277,233.943921875,233.969671875
2022-11-04 08:36:25.287,233.95521875,234.004046875
2022-11-04 08:36:25.297,233.941109375,233.957828125
2022-11-04 08:36:25.307,233.95465625,233.972484375
2022-11-04 08:36:25.317,233.943921875,233.959515625
2022-11-04 08:36:25.327,233.93096875,233.93134375
2022-11-04 08:36:25.337,233.943921875,233.925140625
2022-11-04 08:36:25.347,233.972671875,233.968546875
2022-11-04 08:36:25.357,233.9219375,233.958390625
2022-11-04 08:36:25.367,233.974953125,233.951625
